Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,lost_signal,trapped_signal,time_cost
0.0360902256,-0.002631579,-0.015288221,0.035620120973995764,0.011735511554567543,19343,227,689,7.6047704219818115
-0.102255639,-0.130701754,-0.028822055,0.02879655348336262,0.010997109007425883,17641,194,508,7.077951669692993
-0.091729323,0.0350877193,0.0909774436,0.04630373644033749,0.013710325431900362,19912,273,922,7.946518898010254
-0.133834586,0.0903508772,0.0959899749,0.05641359128596976,0.01761231236113369,18453,325,1041,7.463761806488037
0.0992481203,0.1956140351,-0.01679198,0.0,0.000551166636046298,16329,9,0,6.557869911193848
0.1007518797,0.1789473684,0.0769423559,5.5713410217839434e-05,0.0002785670510891972,17949,5,1,6.959759473800659
-0.169924812,0.0131578947,-0.068421053,0.03008188958832377,0.005125062670603309,17951,92,540,7.101934432983398
-0.094736842,0.0342105263,-0.02481203,0.06866471734892787,0.008138401559454191,20520,167,1409,8.214781284332275
-0.042105263,0.0745614035,0.0368421053,0.08803934997820809,0.017059958906668327,16061,274,1414,6.840984582901001
0.0571428571,-0.05877193,-0.050877193,0.00219210840972499,0.00438421681944998,20072,88,44,7.489138603210449
-0.204511278,-0.08245614,-0.098496241,0.014443151481963174,0.003833253473885961,14609,56,211,6.35304069519043
-0.386466165,0.001754386,-0.017293233,0.019095795131204553,0.0014543155232374328,15815,23,302,6.450054407119751
-0.392481203,0.0798245614,-0.005263158,0.016236256711838405,0.0006392227051904884,15644,10,254,6.4126574993133545
-0.390977444,-0.104385965,0.0518796992,6.68002672010688e-05,0.0008684034736138944,14970,13,1,6.372092008590698
0.0586466165,0.0859649123,-0.004761905,0.02917623340986728,0.01568012544100353,17857,280,521,7.196443557739258
0.1323308271,0.1885964912,-0.058897243,5.967655308229397e-05,0.0005370889777406457,16757,9,1,6.628030776977539
-0.276691729,0.1035087719,0.0629072682,0.014874825685636497,0.001859353210704562,15059,28,224,6.29909086227417
-0.165413534,0.1728070175,0.0779448622,0.044366959240110616,0.009678970782734159,16634,161,738,6.879814147949219
-0.012030075,-0.134210526,0.0929824561,0.003405283682100291,0.006810567364200582,18207,124,62,7.07683253288269
0.022556391,0.1061403509,-0.049373434,0.028421559706685223,0.012845902692287105,18683,240,531,7.525447607040405
0.1157894737,0.1070175439,-0.0839599,0.00016930978046165134,0.0008465489023082567,17719,15,3,6.9249656200408936
0.1142857143,0.0359649123,-0.029824561,0.003638535896600413,0.004833279026827414,18414,89,67,7.179898500442505
-0.260150376,0.1842105263,0.0373433584,0.04512998266897747,0.0013864818024263432,14425,20,651,6.354372024536133
-0.073684211,-0.024561404,0.0448621554,0.07124155148267673,0.012238933203434207,16423,201,1170,6.8056418895721436
-0.35037594,0.1850877193,-0.014285714,0.025711857203569912,0.0005666525003541578,14118,8,363,6.320672273635864
-0.130827068,-0.142982456,-0.080451128,0.008238157648380453,0.009548773637895525,16023,153,132,6.517861604690552
0.0255639098,-0.000877193,0.005764411,0.04787263244578644,0.011419160032939885,18215,208,872,7.221993684768677
-0.028571429,0.1429824561,-0.004260652,0.04914305701294159,0.013116474291710388,17154,225,843,7.0624353885650635
-0.186466165,0.1298245614,-0.022305764,0.10699924238009208,0.011947083163354508,17159,205,1836,7.244318723678589
-0.371428571,0.0780701754,-0.07443609,0.010552945428261655,0.0012287676183592338,13835,17,146,6.365367650985718
0.0857142857,0.0210526316,0.0614035088,0.024579632422769677,0.010111166973912072,17901,181,440,7.1000072956085205
-0.383458647,0.1921052632,-0.031829574,0.004809498760051101,0.0012775231081385736,13307,17,64,6.321396827697754
