tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-15,600,33,610,0.034836840115912815,0.01631598840871866,15874,553,259,10.123349666595459,12.23
-5,600,61,610,0.028062360801781736,0.02589882278078269,15715,441,407,10.17164659500122,12.234
-15,250,79,260,0.07628545525191037,0.01288693174459267,15442,1178,199,6.688967227935791,12.232
-5,600,32,610,0.026402231174465447,0.03235202974899287,16135,426,522,10.059618949890137,12.229
-15,600,39,610,0.04572098475967175,0.014314802245943111,16207,741,232,10.19454550743103,12.229
-10,250,32,260,0.065820465846637,0.015637267730960483,15284,1006,239,6.662007808685303,12.232
-15,80,49,90,0.11484612783226243,0.0028407169428474807,14785,1698,42,5.391059398651123,12.232
-5,250,40,260,0.07168576104746317,0.009819967266775777,15275,1095,150,6.638712167739868,12.229
-15,80,28,90,0.09994579211275241,0.005014229570402494,14758,1475,74,5.348773002624512,12.232
-10,600,34,610,0.041358148222266695,0.019678473750917216,14991,620,295,10.156920671463013,12.232
-15,250,58,260,0.08130911070286453,0.009049465877389943,14697,1195,133,6.634300470352173,12.23
-10,250,73,260,0.055691030119290844,0.023396823304554143,15173,845,355,6.618128538131714,12.23
-15,600,31,610,0.03476788853440979,0.017514161078195194,15359,534,269,10.195149421691895,12.229
-5,600,35,610,0.04002116822120791,0.01713302904015347,15117,605,259,10.075255393981934,12.232
-15,600,30,610,0.033008967754245375,0.016091076766520385,15723,519,253,10.083150625228882,12.236
-5,80,78,90,0.10274426620707941,0.01080471960758319,15086,1550,163,5.372809410095215,12.232
-10,80,15,90,0.11076492655942011,0.0035607553888217713,15727,1742,56,5.711065769195557,12.232
-5,250,75,260,0.056593604024434065,0.03174032818301593,16698,945,530,6.613395690917969,12.233
-15,600,27,610,0.02872908294847958,0.019192706771426857,16673,479,320,10.091470003128052,12.236
-15,80,38,90,0.11245533755406506,0.0032595750015671035,15953,1794,52,5.744772911071777,12.232
-5,80,46,90,0.10053042121684867,0.007176287051482059,16025,1611,115,5.84367036819458,12.234
-15,600,57,610,0.04489692677374478,0.017199949411913495,15814,710,272,10.163747310638428,12.232
-15,600,63,610,0.030560059872770363,0.021766246725707872,16034,490,349,10.105356931686401,12.234
-15,80,65,90,0.09313252236596511,0.009590010941623222,15537,1447,149,5.526522636413574,12.229
-5,80,48,90,0.0953148239960337,0.006817055032226078,16136,1538,110,5.838552713394165,12.229
-10,600,28,610,0.020443779606083273,0.026738967838444278,16044,328,429,10.098121643066406,12.228
-15,250,34,260,0.08065925833437383,0.009489324509926332,16018,1292,152,6.64907431602478,12.233
-10,80,22,90,0.10447667482890689,0.006341432787091103,15927,1664,101,5.873794078826904,12.23
-10,250,75,260,0.06426460416273659,0.025969942778092184,15903,1022,413,6.629064559936523,12.232
-5,80,21,90,0.09566507547413237,0.006708811766223713,15502,1483,104,5.5293498039245605,12.229
-10,600,54,610,0.03796751038911976,0.021030096965117744,15882,603,334,10.149916887283325,12.234
-15,600,44,610,0.044517982017982016,0.017295204795204796,16016,713,277,10.211511611938477,12.23
-5,250,34,260,0.07505265173272066,0.01161529133958772,15669,1176,182,6.662430286407471,12.232
-10,250,78,260,0.07111281952719585,0.015952335191235824,15609,1110,249,6.651197671890259,12.23
-10,600,76,610,0.02934640522875817,0.03790849673202614,15300,449,580,10.12585735321045,12.229
-10,250,59,260,0.0759493670886076,0.014812819822246161,14852,1128,220,6.699826717376709,12.234
