RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6,150,0.061623770663318686,0.012031805817116551,19116,1178,230,8.077552556991577
1,121,0.013038718025281178,0.00477754553598089,20094,262,96,7.963263273239136
4,42,0.051985117985831504,0.007644870292034045,19621,1020,150,8.103137969970703
0,35,0.0016390083999180496,0.003073140749846343,19524,32,60,7.920875072479248
0,70,0.001825280129797698,0.002484409065557978,19723,36,49,7.9634928703308105
1,67,0.02398299939283546,0.004654928152195912,19764,474,92,7.961639165878296
3,46,0.04912796592983168,0.006692354491989455,19724,969,132,8.094179153442383
4,84,0.05018229694146242,0.008355276483694551,19748,991,165,8.040632009506226
3,10,0.05963325797538307,0.007184124591811103,19905,1187,143,7.990661144256592
0,105,0.0025574139430208174,0.0029154518950437317,19551,50,57,7.944831371307373
2,25,0.03879482071713147,0.0061752988047808766,20080,779,124,8.098586082458496
1,75,0.004943752207032235,0.003783483831912425,19823,98,75,8.002599954605103
3,193,0.05751944248055752,0.007120492879507121,19802,1139,141,7.957749605178833
6,141,0.06245692169026033,0.01012671650495732,18861,1178,191,8.07300329208374
4,218,0.06220144845652062,0.008475011556833941,19469,1211,165,8.10001802444458
1,209,0.023720601594831938,0.003936610477440193,19814,470,78,7.982598304748535
6,25,0.053270397842211735,0.011307640437782042,19279,1027,218,8.052465915679932
2,298,0.04988312527975332,0.00616700651514398,20107,1003,124,8.014886140823364
1,14,0.024349917330527583,0.005110476476777394,19959,486,102,8.071818828582764
4,66,0.02191286414024233,0.009435421500386697,19395,425,183,7.990447282791138
0,50,0.0004039587962027873,0.002524742476267421,19804,8,50,7.945412874221802
1,107,0.011713933415536375,0.004469790382244143,19464,228,87,8.041380882263184
4,28,0.02597668234812845,0.008948660257721416,19556,508,175,7.985176086425781
3,171,0.058630586305863056,0.008763837638376383,19512,1144,171,8.010358810424805
4,55,0.05631532421610941,0.007591908897093235,19231,1083,146,8.030487298965454
3,228,0.061274635270028154,0.006142820578448937,19535,1197,120,8.12961220741272
2,95,0.0362070701984087,0.005640044314633901,19858,719,112,8.006990194320679
6,211,0.06614577758749866,0.009418816226051589,18686,1236,176,8.04882001876831
2,194,0.047579342331544115,0.005367658554380114,19189,913,103,8.097400426864624
2,268,0.04707280524983207,0.005993902754094972,19353,911,116,8.053644895553589
4,212,0.060453400503778336,0.009078505457598656,19056,1152,173,7.9642415046691895
6,37,0.06529749647772841,0.009320472526281565,18454,1205,172,8.032756567001343
2,150,0.03806818181818182,0.006301652892561983,19360,737,122,8.013450860977173
6,98,0.05971020646462502,0.013587389204394671,18841,1125,256,8.081404209136963
2,251,0.04619468123117758,0.006380480833035577,19591,905,125,8.007787466049194
1,35,0.018774499690530223,0.004229420259954611,19388,364,82,8.018912553787231
6,288,0.06528,0.010506666666666666,18750,1224,197,8.105274677276611
4,120,0.0496082196045872,0.00825073945306419,19271,956,159,8.084166049957275
2,114,0.03457119409109561,0.005949938448912597,19496,674,116,8.032785177230835
0,5,0.0020896458050360463,0.004022568174694389,19142,40,77,8.012727737426758
1,281,0.023645522771666497,0.004266474760974606,19454,460,83,8.00672197341919
3,214,0.05813953488372093,0.006925064599483204,19350,1125,134,8.112267255783081
1,163,0.021322844426042854,0.004295621571265914,19322,412,83,8.035172939300537
6,99,0.053762291577597265,0.013039760581445061,18712,1006,244,8.067392826080322
0,190,0.0026808269319997936,0.0025261638397690365,19397,52,49,7.997455835342407
6,123,0.05186141596729073,0.010167850225952227,18588,964,189,8.021341800689697
1,190,0.02243241846281077,0.004496821212591099,19347,434,87,7.9963366985321045
1,171,0.023206215406489615,0.005179505408012999,19693,457,102,8.03493356704712
3,294,0.06056452431718956,0.006904254239009037,19698,1193,136,8.067479133605957
2,2,0.047498318414653073,0.005484555285352098,19327,918,106,8.071175813674927
3,238,0.061556507547939614,0.006170950632394941,19608,1207,121,8.01094651222229
4,286,0.05915610930792587,0.008009632499214742,19102,1130,153,8.018510580062866
1,299,0.021402666394238136,0.004086427951167186,19577,419,80,8.054660558700562
0,60,0.001645609937360654,0.0024949570018048626,18838,31,47,7.9839026927948
6,189,0.06119685892228541,0.010398050365556457,18465,1130,192,8.027206897735596
6,243,0.06734357848518112,0.009989023051591658,18220,1227,182,8.073792457580566
2,249,0.04403773197990362,0.006305752076284221,19506,859,123,8.068615198135376
0,183,0.0017257186000107858,0.0026425066062665155,18543,32,49,7.932580232620239
4,189,0.059803139132748075,0.008938547486033519,18795,1124,168,8.079346418380737
4,229,0.061517643385031746,0.008743624440512127,19214,1182,168,8.070604801177979
0,284,0.0024937655860349127,0.0029182363240834084,18847,47,55,7.982694864273071
3,113,0.04544736426352099,0.006530096371583549,18989,863,124,8.030709981918335
